"player","gmli","pli","inli","exli"
112526,0.858541176470588,0.928498819362456,0.890993560606061,1.04207647058824
120074,1.02879072847682,1.04389983974359,1.04554389067524,NA
121347,1.20290615384615,1.12398595041322,1.12812033195021,NA
134181,0.988400653594771,1.03986161137441,1.04127911392405,NA
136860,0.938209933774834,1.04234500846024,1.04398169491525,NA
150029,0.906822377622378,0.976901326699834,0.978488704318937,NA
150229,1.23756125,1.08356317829457,1.08356317829457,NA
150274,1.17467,1.36188571428571,1.17467,0.9271
276351,1.41491492537313,1.5183644,1.42284428571429,1.29993731343284
276519,0.87360243902439,1.10792469879518,1.10792469879518,NA
276542,1.41861568627451,1.53976919191919,1.4043320754717,1.27124509803922
279571,0.917885,0.703977005347594,0.804054098360656,0.8206025
282332,0.828686666666667,1.06440026246719,0.943136269430052,1.14875666666667
285064,0.906625,0.961005235602094,0.864502702702703,0.967633333333333
285079,0.967832258064516,0.939416115702479,0.861665934065934,1.10666666666667
346798,0.8092,1.10153541666667,0.98622,0.3785
346874,0.793764383561644,0.898575294117647,0.898575294117647,NA
400085,1.07209357142857,1.01812093663912,1.02292271468144,NA
400121,1.00840454545455,1.05138207236842,1.05646870860927,NA
400284,0.98503503649635,0.974912121212121,0.979800896057348,NA
405395,1.03486447368421,1.1115975308642,1.11483978328173,NA
407781,0.853947058823529,1.01548682170543,1.0233890625,NA
407793,0.814775862068965,0.966267447595561,0.914726335877863,1.17134137931034
407812,0.94717247706422,1.02354255319149,1.0259144549763,NA
407819,0.499333333333333,0.397925,0.474394736842105,0.408922222222222
407822,0.805807407407407,0.891781664098613,0.78152,0.902896296296296
407845,1.5991776119403,1.85191850533808,1.60733802816901,0.649371641791045
407890,0.813815789473684,0.98228067940552,0.925878333333333,1.32182631578947
407893,1.16316071428571,1.09411670480549,1.09659541284404,NA
407908,1.37324193548387,1.00697438016529,1.21992571428571,1.23847419354839
408045,0.79869022556391,1.08768813263525,1.08958793706294,NA
408047,1.17763965517241,1.16062407407407,1.16062407407407,NA
408061,1.96213278688525,2.10552051282051,1.94902272727273,0.116272131147541
408234,0.804589240506329,0.980511078286558,0.983670919881306,NA
408236,1.00149677419355,1.05128598726115,1.05128598726115,NA
408241,0.796264516129032,0.946484587155963,0.937046835443038,0.914141935483871
408252,0.942020567375887,1.00003663194444,1.00345714285714,NA
408299,0.974323684210526,0.918609395973154,0.918609395973154,NA
408307,1.01743928571429,1.1066511627907,1.1066511627907,NA
408314,0.815226666666667,0.920837050359712,0.920837050359712,NA
424144,1.37693125,1.17384972677596,1.34880273972603,1.36663125
424325,1.18902727272727,0.985359024390244,0.990175,NA
424825,0.964668032786885,1.04319124236253,1.04319124236253,NA
425426,0.527794736842105,0.542599565217391,0.5356,0.114628947368421
425492,1.81406349206349,2.02957037037037,1.8045,0.297230158730159
425509,1.0048487804878,1.02735544871795,1.02735544871795,NA
425532,0.0800454545454545,0.0894679012345679,0.051855,0.0695909090909091
425626,0.7123625,0.620558878504673,0.630992857142857,0.5600875
425657,1.74829117647059,1.45654322033898,1.70407777777778,1.61882058823529
425766,0.958121428571429,1.00981424657534,1.01250494505495,NA
425772,1.01757,0.900240769230769,0.900240769230769,NA
425783,0.864510416666667,1.00296889952153,1.00296889952153,NA
425784,1.08588524590164,0.96146359223301,0.965931707317073,NA
425794,0.925735294117647,1.02260339912281,0.93650295202952,1.11945151515152
425796,1.31296532258065,1.22406177370031,1.21842392638037,NA
425834,1.02427412587413,1.07430299625468,1.07625440900563,NA
425835,1.21325,2.62098888888889,1.21325,0
425844,0.899218518518519,0.930246270718232,0.935056561085973,1.13421538461538
425856,1.59970357142857,1.2971888,1.50712631578947,1.04645357142857
425877,1.00599383561644,0.964226297577855,0.9556203125,NA
425900,1.15964536082474,1.14685740181269,1.15013878787879,NA
425902,0.998734831460674,0.954163934426229,0.954163934426229,NA
429400,0.648375,0.506390322580645,0.648375,0.7134375
429664,0.817570807453416,0.992815848527349,0.995242053445851,NA
429665,0.9226775,1.06658108882521,1.0681382183908,NA
