Inn,Batter,Pitcher,Outs,Bases,Play,LI,RE,WE,WPA,RE24,topbot
? 7,A Hedges,L Gilbert,1,_2_,Austin Hedges singled to center (Liner). Tyler Freeman advanced to 3B.,1.29,0.62,21.10%,0.051,0.5,Top
? 7,M Straw,M Brash,1,1_3,Myles Straw flied out to right.,2.1,1.12,28.20%,-0.071,-0.66,Top
? 7,S Kwan,M Brash,2,1_3,Steven Kwan flied out to center.,1.89,0.45,33.20%,-0.05,-0.45,Top
? 7,E Suarez,S Bieber,0,___,Eugenio Suarez singled to left (Grounder).,1.91,0.43,41.20%,0.08,0.36,Bot
? 7,C Santana,S Bieber,0,1__,Carlos Santana singled to right (Liner). Eugenio Suarez advanced to 3B.,3.26,0.79,61.60%,0.204,0.97,Bot
? 7,A Frazier,S Bieber,0,1_3,Adam Frazier hit a sacrifice fly to center (Fly). Eugenio Suarez scored.,3.32,1.76,58.50%,-0.031,-0.3,Bot
? 7,C Raleigh,S Bieber,1,1__,Cal Raleigh grounded into a double play to first (Grounder). Carlos Santana out at second.,2.01,0.46,50.00%,-0.085,-0.46,Bot
? 8,A Rosario,P Sewald,0,___,Amed Rosario struck out swinging.,1.81,0.43,54.40%,-0.044,-0.21,Top
? 8,J Ramirez,P Sewald,1,___,Jose Ramirez struck out swinging.,1.32,0.22,57.50%,-0.031,-0.14,Top
? 8,J Naylor,P Sewald,2,___,Josh Naylor flied out to left.,0.93,0.09,59.80%,-0.023,-0.09,Top
? 8,J Crawford,J Karinchak,0,___,J.P. Crawford walked.,1.77,0.43,66.30%,0.065,0.36,Bot
? 8,S Haggerty,J Karinchak,0,1__,Sam Haggerty struck out swinging.,2.78,0.79,60.00%,-0.063,-0.33,Bot
? 8,J Rodriguez,J Karinchak,1,1__,Julio Rodriguez struck out swinging.,2.36,0.46,54.60%,-0.054,-0.26,Bot
? 8,J Winker,J Karinchak,2,1__,Jesse Winker struck out looking.,1.73,0.2,50.00%,-0.046,-0.2,Bot
? 9,A Gimenez,D Castillo,0,___,Andres Gimenez doubled to right (Liner).,2.21,0.43,32.60%,0.174,0.61,Top
? 9,O Gonzalez,D Castillo,0,_2_,Oscar Gonzalez grounded out to pitcher. Andres Gimenez advanced to 3B.,2.74,1.04,31.90%,0.007,-0.15,Top
? 9,T Freeman,D Castillo,1,__3,Tyler Freeman flied out to right.,4.7,0.89,50.90%,-0.191,-0.56,Top
? 9,R Palacios,D Castillo,2,__3,Richie Palacios fouled out to third.,4.33,0.33,62.20%,-0.113,-0.33,Top
? 9,M Haniger,T Stephan,0,___,Mitch Haniger doubled to left (Liner).,2.18,0.43,79.90%,0.176,0.61,Bot
? 9,E Suarez,T Stephan,0,_2_,Eugenio Suarez struck out swinging.,2.7,1.04,68.70%,-0.112,-0.41,Bot
? 9,C Santana,T Stephan,1,_2_,Carlos Santana struck out swinging.,3.19,0.62,60.00%,-0.087,-0.33,Bot
? 9,A Frazier,T Stephan,2,_2_,Adam Frazier singled to third (Grounder). Mitch Haniger advanced to 3B.,3.74,0.29,62.80%,0.028,0.16,Bot
? 9,A Frazier,T Stephan,2,1_3,Adam Frazier advanced on defensive indifference to 2B.,4.84,0.45,62.80%,0,0.1,Bot
? 9,C Raleigh,T Stephan,2,_23,Cal Raleigh grounded out to second.,4.6,0.56,50.00%,-0.128,-0.55,Bot
? 10,M Straw,M Festa,0,_2_,Myles Straw struck out looking.,2.74,1.04,61.70%,-0.117,-0.41,Top
? 10,S Kwan,M Festa,1,_2_,Steven Kwan walked.,3.26,0.62,59.70%,0.02,0.21,Top
? 10,A Rosario,M Festa,1,12_,Amed Rosario grounded into a double play to pitcher (Grounder). Steven Kwan out at second.,4.61,0.83,79.90%,-0.201,-0.83,Top
? 10,J Crawford,T Stephan,0,_2_,J.P. Crawford sacrificed to pitcher (Bunt Grounder). Cal Raleigh advanced to 3B.,2.7,1.04,81.90%,0.021,-0.15,Bot
? 10,T France,N Sandlin,1,__3,Ty France struck out swinging.,4.97,0.89,61.80%,-0.201,-0.56,Bot
? 10,J Rodriguez,N Sandlin,2,__3,Julio Rodriguez was intentionally walked.,4.53,0.33,62.80%,0.009,0.13,Bot
? 10,J Rodriguez,N Sandlin,2,1_3,Julio Rodriguez advanced on defensive indifference to 2B.,4.84,0.45,62.80%,0,0.1,Bot
? 10,D Moore,N Sandlin,2,_23,Dylan Moore struck out swinging.,4.6,0.56,50.00%,-0.128,-0.55,Bot
? 11,J Ramirez,P Murfee,0,_2_,Jose Ramirez was intentionally walked.,2.74,1.04,47.10%,0.029,0.35,Top
? 11,J Naylor,P Murfee,0,12_,Josh Naylor reached on fielder's choice to first. Amed Rosario advanced to 3B. Jose Ramirez out at second.,3.87,1.39,47.90%,-0.007,-0.27,Top
? 11,A Gimenez,P Murfee,1,1_3,Andres Gimenez reached on fielder's choice to first. Amed Rosario out at home. Josh Naylor advanced to 2B.,5.51,1.12,68.90%,-0.21,-0.72,Top
? 11,O Gonzalez,P Murfee,2,12_,Oscar Gonzalez walked. Owen Miller advanced to 3B. Andres Gimenez advanced to 2B.,4.34,0.4,63.80%,0.05,0.32,Top
? 11,T Freeman,P Murfee,2,123,Tyler Freeman reached on fielder's choice to first. Oscar Gonzalez out at second.,6.83,0.72,79.90%,-0.16,-0.72,Top
? 11,M Haniger,E Clase,0,_2_,Mitch Haniger singled to right (Liner). Dylan Moore scored.,2.7,1.04,100.00%,0.201,0.76,Bot
